iteration,scenario,ttc_watch,ci_danger,drac_danger,profil_tm,seed,statut_fin,arrive,temps_arrivee_s,vitesse_moyenne_kmh,distance_parcourue_m,n_collisions,n_freinages,niveau_max
2,2,1.5,0.5,6.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
3,2,1.5,0.5,7.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
4,2,1.5,0.6,5.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
5,2,1.5,0.6,6.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
6,2,1.5,0.6,7.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
7,2,1.5,0.7,5.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
8,2,1.5,0.7,6.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
9,2,1.5,0.7,7.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
10,2,2.0,0.5,5.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
11,2,2.0,0.5,6.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
13,2,2.0,0.6,5.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
14,2,2.0,0.6,6.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
15,2,2.0,0.6,7.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
16,2,2.0,0.7,5.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
17,2,2.0,0.7,6.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
18,2,2.0,0.7,7.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
19,2,2.5,0.5,5.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
20,2,2.5,0.5,6.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
22,2,2.5,0.6,5.0,strict,42,arrive,1,134.65,9.90,370.4,0,4,CRITICAL
