t,id_autre,type_autre,relation,meme_voie,distance_m,ecart_lateral_m,cap_relatif_deg,vitesse_ego_kmh,vitesse_autre_kmh,vitesse_relative_kmh,ttc_s,thw_s,drac,niveau,metrique_decisive
0.20,1243,voiture,convergente,non,24.7,-0.00,+0.0,4.3,7.4,-3.1,,20.57,0.00,CRITICAL,PET
0.25,1243,voiture,convergente,non,24.7,-0.00,+0.0,1.5,6.0,-4.5,,60.34,0.00,CRITICAL,PET
0.30,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.1,4.4,-4.2,,615.49,0.00,CRITICAL,PET
0.35,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.4,2.9,-2.5,,222.15,0.00,CRITICAL,PET
0.40,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.6,1.5,-1.0,,158.84,0.00,CRITICAL,PET
0.45,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.5,0.2,+0.3,272.45,163.10,0.00,CRITICAL,PET
0.50,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.5,0.6,-0.1,,191.72,0.00,CRITICAL,PET
0.55,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.4,1.1,-0.8,,242.05,0.00,CRITICAL,PET
0.60,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.3,1.7,-1.4,,319.50,0.00,CRITICAL,PET
0.65,1243,voiture,convergente,non,24.7,-0.00,+0.0,0.2,2.8,-2.6,,435.04,0.00,CRITICAL,PET
0.70,1243,voiture,convergente,non,24.8,-0.00,+0.0,0.1,3.8,-3.6,,606.03,0.00,CRITICAL,PET
0.75,1243,voiture,convergente,non,24.8,-0.00,+0.0,0.1,5.1,-5.0,,859.12,0.00,CRITICAL,PET
0.80,1243,voiture,convergente,non,24.9,-0.00,+0.0,0.1,6.2,-6.1,,1234.92,0.00,CRITICAL,PET
0.85,1243,voiture,convergente,non,25.0,-0.00,+0.0,0.1,7.2,-7.1,,1795.31,0.00,CRITICAL,PET
0.90,1243,voiture,convergente,non,25.1,+0.00,+0.0,0.0,8.2,-8.1,,2634.73,0.00,CRITICAL,PET
0.95,1243,voiture,convergente,non,25.2,+0.00,+0.0,0.0,9.1,-9.1,,3897.20,0.00,SAFE,—
1.55,1243,voiture,convergente,non,27.6,+0.00,+0.1,2.7,18.1,-15.4,,36.08,0.00,CRITICAL,PET
1.60,1243,voiture,convergente,non,27.8,+0.01,+0.0,4.4,18.7,-14.3,,22.65,0.00,CRITICAL,PET
1.65,1243,voiture,convergente,non,28.0,+0.09,+0.1,3.1,18.7,-15.6,,32.66,0.00,CRITICAL,PET
1.70,1243,voiture,convergente,non,28.2,+0.09,+0.1,0.0,18.5,-18.5,,38539.24,0.00,SAFE,—
1.85,1243,voiture,convergente,non,29.0,+0.09,+0.1,0.9,18.5,-17.7,,122.41,0.00,CRITICAL,PET
1.90,1243,voiture,convergente,non,29.2,+0.09,+0.1,0.0,18.6,-18.6,,516768.74,0.00,SAFE,—
2.05,1243,voiture,convergente,non,30.0,+0.09,+0.1,1.1,18.7,-17.6,,96.36,0.00,CRITICAL,PET
2.10,1243,voiture,convergente,non,30.2,+0.07,+0.1,0.0,18.6,-18.6,,292768.64,0.00,SAFE,—
2.20,1243,voiture,convergente,non,30.8,+0.07,+0.1,0.7,18.9,-18.2,,162.79,0.00,CRITICAL,PET
2.25,1243,voiture,convergente,non,31.0,+0.07,+0.1,0.0,19.0,-19.0,,530059.81,0.00,SAFE,—
2.40,1243,voiture,convergente,non,31.8,+0.07,+0.1,1.2,19.1,-18.0,,97.63,0.00,CRITICAL,PET
2.45,1243,voiture,convergente,non,32.1,+0.07,+0.1,0.0,19.1,-19.1,,328092.55,0.00,SAFE,—
2.55,1243,voiture,convergente,non,32.6,+0.07,+0.1,0.7,19.3,-18.5,,158.01,0.00,CRITICAL,PET
2.60,1243,voiture,convergente,non,32.9,+0.07,+0.1,0.0,19.6,-19.6,,560616.98,0.00,SAFE,—
2.70,1243,voiture,convergente,non,33.4,+0.07,+0.1,0.7,19.5,-18.8,,167.35,0.00,CRITICAL,PET
2.75,1243,voiture,convergente,non,33.7,+0.07,+0.1,0.0,19.4,-19.4,,681199.14,0.00,SAFE,—
2.90,1243,voiture,convergente,non,34.5,+0.07,+0.1,0.9,19.6,-18.7,,130.86,0.00,CRITICAL,PET
2.95,1243,voiture,convergente,non,34.7,+0.07,+0.1,0.0,19.6,-19.6,,387714.39,0.00,SAFE,—
3.10,1243,voiture,convergente,non,35.5,+0.08,+0.1,1.1,19.8,-18.7,,114.53,0.00,CRITICAL,PET
3.15,1243,voiture,convergente,non,35.8,+0.10,+0.1,0.0,19.7,-19.7,,307843.15,0.00,SAFE,—
3.30,1243,voiture,convergente,non,36.6,+0.11,+0.2,1.3,19.9,-18.6,,99.38,0.00,CRITICAL,PET
3.35,1243,voiture,convergente,non,36.9,+0.10,+0.2,0.0,19.8,-19.8,,258883.98,0.00,SAFE,—
3.50,1243,voiture,convergente,non,37.7,+0.11,+0.2,1.5,20.1,-18.6,,89.09,0.00,CRITICAL,PET
3.55,1243,voiture,convergente,non,38.0,+0.13,+0.2,0.0,20.2,-20.2,,284458.87,0.00,SAFE,—
3.75,1243,voiture,convergente,non,39.0,+0.14,+0.2,2.0,20.5,-18.5,,70.02,0.00,CRITICAL,PET
3.80,1243,voiture,convergente,non,39.3,+0.16,+0.2,0.0,20.5,-20.5,,163929.69,0.00,SAFE,—
4.00,1243,voiture,convergente,non,40.4,+0.15,+0.2,2.2,20.4,-18.2,,66.42,0.00,CRITICAL,PET
4.05,1243,voiture,convergente,non,40.7,+0.16,+0.2,0.0,20.9,-20.9,,161182.73,0.00,SAFE,—
4.30,1243,voiture,convergente,non,42.0,+0.18,+0.3,2.8,20.8,-18.0,,53.16,0.00,CRITICAL,PET
4.35,1243,voiture,convergente,non,42.3,+0.20,+0.3,0.0,20.7,-20.7,,9158.43,0.00,SAFE,—
4.60,1243,voiture,convergente,non,43.7,+0.23,+0.3,3.0,21.2,-18.3,,52.67,0.00,CRITICAL,PET
4.65,1243,voiture,convergente,non,43.9,+0.19,+0.3,0.0,21.2,-21.1,,7897.82,0.00,SAFE,—
4.85,1243,voiture,convergente,non,45.1,+0.20,+0.3,2.3,21.3,-19.0,,70.98,0.00,WATCH,PET
4.90,1243,voiture,convergente,non,45.3,+0.20,+0.3,0.0,21.5,-21.4,,115469.57,0.00,SAFE,—
5.10,1243,voiture,convergente,non,46.5,+0.20,+0.3,2.4,21.6,-19.2,,68.62,0.00,DANGER,PET
5.15,1243,voiture,convergente,non,46.8,+0.21,+0.3,0.0,21.5,-21.5,,89766.59,0.00,SAFE,—
5.35,1243,voiture,convergente,non,47.9,+0.21,+0.2,2.4,21.0,-18.6,,73.24,0.00,CRITICAL,PET
5.40,1243,voiture,convergente,non,48.2,+0.21,+0.2,0.0,18.8,-18.8,,109558.61,0.00,SAFE,—
5.60,1243,voiture,convergente,non,49.0,+0.21,+0.2,2.3,17.3,-15.0,,75.98,0.00,CRITICAL,PET
5.65,1243,voiture,convergente,non,49.3,+0.23,+0.3,0.0,17.9,-17.9,,107527.75,0.00,SAFE,—
5.85,1243,voiture,convergente,non,50.2,+0.24,+0.3,2.2,12.8,-10.6,,80.39,0.00,CRITICAL,PET
5.90,1243,voiture,convergente,non,50.3,+0.22,+0.2,0.0,9.9,-9.9,,118961.16,0.00,SAFE,—
6.05,1243,voiture,convergente,non,50.7,+0.21,+0.2,1.4,11.6,-10.2,,127.22,0.00,CRITICAL,PET
6.10,1243,voiture,convergente,non,50.9,+0.22,+0.2,0.0,12.4,-12.4,,345095.21,0.00,SAFE,—
6.25,1243,voiture,convergente,non,51.4,+0.22,+0.2,1.5,12.5,-11.0,,124.70,0.00,CRITICAL,PET
6.30,1243,voiture,convergente,non,51.5,+0.22,+0.2,0.0,12.2,-12.2,,389297.51,0.00,SAFE,—
6.50,1243,voiture,convergente,non,52.2,+0.23,+0.2,2.0,11.9,-9.9,,94.23,0.00,CRITICAL,PET
