iteration,scenario,ttc_watch,ci_danger,drac_danger,profil_tm,seed,statut_fin,arrive,temps_arrivee_s,vitesse_moyenne_kmh,distance_parcourue_m,n_collisions,n_freinages,niveau_max
1,3,1.5,0.5,5.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
2,3,1.5,0.5,6.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
3,3,1.5,0.5,7.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
4,3,1.5,0.6,5.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
5,3,1.5,0.6,6.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
6,3,1.5,0.6,7.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
7,3,1.5,0.7,5.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
8,3,1.5,0.7,6.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
9,3,1.5,0.7,7.0,strict,42,arrive,1,88.50,12.41,305.2,0,11,CRITICAL
10,3,2.0,0.5,5.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
11,3,2.0,0.5,6.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
12,3,2.0,0.5,7.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
13,3,2.0,0.6,5.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
14,3,2.0,0.6,6.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
15,3,2.0,0.6,7.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
16,3,2.0,0.7,5.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
17,3,2.0,0.7,6.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
18,3,2.0,0.7,7.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
19,3,2.5,0.5,5.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
20,3,2.5,0.5,6.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
21,3,2.5,0.5,7.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
22,3,2.5,0.6,5.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
23,3,2.5,0.6,6.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
24,3,2.5,0.6,7.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
25,3,2.5,0.7,5.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
26,3,2.5,0.7,6.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
27,3,2.5,0.7,7.0,strict,42,arrive,1,88.65,12.40,305.3,0,9,CRITICAL
28,4,1.5,0.5,5.0,agressif,42,arrive,1,120.40,9.14,305.5,0,15,CRITICAL
29,4,1.5,0.5,6.0,agressif,42,arrive,1,120.40,9.14,305.5,0,15,CRITICAL
30,4,1.5,0.5,7.0,agressif,42,arrive,1,120.40,9.14,305.5,0,15,CRITICAL
31,4,1.5,0.6,5.0,agressif,42,arrive,1,120.40,9.14,305.5,0,15,CRITICAL
32,4,1.5,0.6,6.0,agressif,42,arrive,1,120.40,9.14,305.5,0,15,CRITICAL
33,4,1.5,0.6,7.0,agressif,42,arrive,1,120.40,9.14,305.5,0,15,CRITICAL
34,4,1.5,0.7,5.0,agressif,42,arrive,1,120.40,9.14,305.5,0,15,CRITICAL
